
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 146, Time: 0.102504, Redshift: 8.75569, Nf = 0000000003, Systemstep: 0.000230234, Dloga: 0.00224862

Begin Step 147, Time: 0.102735, Redshift: 8.73377, Nf = 0000003633, Systemstep: 0.000230752, Dloga: 0.00224862

Begin Step 148, Time: 0.102966, Redshift: 8.71191, Nf = 0000000008, Systemstep: 0.000231272, Dloga: 0.00224862

Begin Step 149, Time: 0.103198, Redshift: 8.6901, Nf = 0000000230, Systemstep: 0.000231793, Dloga: 0.00224862

Begin Step 150, Time: 0.10343, Redshift: 8.66833, Nf = 0000000008, Systemstep: 0.000232314, Dloga: 0.00224862

Begin Step 151, Time: 0.103663, Redshift: 8.64662, Nf = 0132948558, Systemstep: 0.000232837, Dloga: 0.00224862

Begin Step 152, Time: 0.103897, Redshift: 8.62495, Nf = 0000000010, Systemstep: 0.000233361, Dloga: 0.00224862

Begin Step 153, Time: 0.104131, Redshift: 8.60333, Nf = 0000000276, Systemstep: 0.000233887, Dloga: 0.00224862

Begin Step 154, Time: 0.104365, Redshift: 8.58176, Nf = 0000000011, Systemstep: 0.000234413, Dloga: 0.00224862

Begin Step 155, Time: 0.1046, Redshift: 8.56024, Nf = 0000004246, Systemstep: 0.000234941, Dloga: 0.00224862

Begin Step 156, Time: 0.104835, Redshift: 8.53877, Nf = 0000000012, Systemstep: 0.00023547, Dloga: 0.00224862

Begin Step 157, Time: 0.105071, Redshift: 8.51734, Nf = 0000000353, Systemstep: 0.000236, Dloga: 0.00224862

Begin Step 158, Time: 0.105308, Redshift: 8.49596, Nf = 0000000013, Systemstep: 0.000236531, Dloga: 0.00224862

Begin Step 159, Time: 0.105545, Redshift: 8.47464, Nf = 0084750010, Systemstep: 0.000237064, Dloga: 0.00224862

Begin Step 160, Time: 0.105783, Redshift: 8.45335, Nf = 0000000013, Systemstep: 0.000237597, Dloga: 0.00224862

